poultry_establishment_id,full_establishment_id,name,address,city,state,zip,grant_date,activities,dba,district,circuit,establishment_size,processed_volume_category,slaughter_volume_category,active
P19636,M19636 + P19636,Tyson Foods,2800 E. Tyson Dr.,Union City,TN,38261,2008-11-07 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Houston Farms; Prospect Farms; Tyson Farms Inc,90,9023,Large,5,5,true
P19669,M19669 + P19669,Allen Brothers,1250 Whipple Road,Union City,CA,94587,2021-07-07 00:00:00 UTC,"Meat Processing, Poultry Processing",Del Monte Meat Company,5,511,Small,3,,true
P19688,P19688 + V19688,Sanderson Farms,2000 Shiloh Avenue,Bryan,TX,77803,,"Certification - Export, Poultry Processing, Poultry Slaughter",Covington Farms,40,4035,Large,5,5,true
P19719,M19719 + P19719,Twin Rivers Foods,201 North 2nd Street,Fort Smith,AR,72901,,"Meat Processing, Poultry Processing","",35,3505,Small,4,,true
P19719E,M19719E + P19719E,Twin Rivers Foods,124 North E Street,Fort Smith,AR,72901,,"Meat Processing, Poultry Processing","",35,3505,Small,3,,true
P19782,M19782 + P19782,E. Excel Food,3700 E. Melville Way,Anaheim,CA,92806,2014-10-01 00:00:00 UTC,"Meat Processing, Poultry Processing","",5,521,Small,3,,true
P19865,P19865 + V19865,House of Raeford Farms of LA,"3867 2nd St., Hwy 80 West",Arcadia,LA,71001,2017-08-08 00:00:00 UTC,"Certification - Export, Poultry Processing, Poultry Slaughter",Columbia Farms; House of Raeford; Raeford Farms of Louisiana,40,4014,Large,5,5,true
P19871,P19871,Filet of Chicken,146 Forest Parkway,Forest Park,GA,30297,,Poultry Processing,"",85,8505,Small,5,,true
P19879,M19879 + P19879,Golden Valley Industries,960 Lone Palm Avenue,Modesto,CA,95351,,"Meat Processing, Poultry Processing","",5,509,Small,4,,true
P19909,M19909 + P19909,Bally United Produce,429 Forest Gate Drive,Garland,TX,75042,,"Meat Processing, Poultry Processing","",40,4024,Small,3,,true
P19953,M19953 + P19953,Go Go Sales,3050-A E. 11th Street,Los Angeles,CA,90023,2016-06-07 00:00:00 UTC,"Meat Processing, Poultry Processing",L & T Meat,5,535,Very Small,3,,true
P20088,M20088 + P20088 + V20088,Brakebush Irving,2230 East Union Bower,Irving,TX,75061,,"Certification - Export, Poultry Processing","",40,4024,Large,5,,true
P20091,M20091 + P20091,Country Ranch Food Products,1460 Fieldpark Circle,Marietta,GA,30066,,"Meat Processing, Poultry Processing","",85,8507,Small,2,,true
P20106,M20106 + P20106,Dallas USA Foods,1880 Lone Star Drive,Dallas,TX,75212,,Poultry Processing,"",40,4024,Small,4,,true
P20153,M20153 + P20153,Rice Field,14500 E. Valley Boulevard,City of Industry,CA,91746,,"Meat Processing, Poultry Processing",Great River Foods; Valley Star Corp.,5,506,Small,3,,true
P20204,M20204 + P20204 + V20204,Denmark Foods,7713 West Golden Lane,Peoria,AZ,85345,2011-03-02 00:00:00 UTC,"Meat Processing, Poultry Processing, Voluntary Processing - Meat","",5,504,Small,3,,true
P20245,P20245,Keystone Foods,2294 KY Highway 90 West,Albany,KY,42602,2021-10-08 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","Coosa Valley Foods; Equity Group Kentucky Division, LLC; Key Farms; KeyFarms; Keystone Foods, LLC; Prospect Farms; Spare Time; Tyson Foods, Inc.",90,9002,Large,5,5,true
P20251,P20251,Tecumseh Poultry,333 South Third Street,Tecumseh,NE,68450,2018-11-07 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",MBA Poultry,15,1516,Small,4,5,true
P20251W,M20251W + P20251W,Tecumseh Poultry,13151 Dovers Street,Waverly,NE,68462,2018-11-07 00:00:00 UTC,"Meat Processing, Poultry Processing",MBA Poultry,15,1516,Small,4,,true
P20256,P20256,Broomes Poultry,24816 Austin Rd.,Albemarle,NC,28001,,Poultry Processing,"",80,80,Very Small,3,,true
P20322,M20322 + P20322,Keystone Foods,57 Melvin Clark Road,Baker Hill,AL,36027,,"Meat Processing, Poultry Processing, Poultry Slaughter","Equity Group Eufaula Division, LLC; Key Farms; Keystone Foods, LLC; Prospect Farms; Tyson Foods, Inc.",90,9001,Large,5,5,true
P20401,M20401 + P20401,Prime Foods,5213 Monroe Pl.,Hyattsville,MD,20781,,"Meat Processing, Poultry Processing","",80,8006,Small,3,,true
P20446,M20446 + P20446 + V20446,Central Illinois Poultry Processing,119 N CR 000 East,Arthur,IL,61911,,"Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Poultry Slaughter, Voluntary Processing - Poultry, Voluntary Processing - Rabbit, Voluntary Slaughter - Poultry, V","",50,50,Small,2,4,true
P206,P206 + V206,Pilgrim's Pride,928 Martin Luther King Jr. Blvd.,Nacogdoches,TX,75961,,"Certification - Export, Poultry Processing, Poultry Slaughter","",40,4029,Large,5,5,true
P20604,P20604,Gerber Poultry,5889 Kidron Rd.,Kidron,OH,44636,,"Poultry Processing, Poultry Slaughter","",50,5011,Small,5,5,true
P20699A,P20699A,Alatrade Foods,695 W. Henderson Road,Boaz,AL,35957,,Poultry Processing,"",90,9012,Small,4,,true
P20770,M20770 + P20770,Charles Austin Holdings,1801 South Canal St.,Chicago,IL,60616,,"Meat Processing, Poultry Processing","",50,50,Small,4,,true
P208,P208 + V208,George's Processing,1306 North Kansas St,Springdale,AR,72764,,"Certification - Export, Poultry Processing, Poultry Slaughter","",35,3512,Large,5,5,true
P20820,M20820 + P20820,Dbran Poultry,218 S. 8th Ave.,La Puente,CA,91746,,"Meat Processing, Poultry Processing","",5,506,Small,3,,true
P20826,M20826 + P20826 + V20826,Griggstown Quail Farm,484 Bunker Hill Road,Princeton,NJ,08540,,"Meat Processing, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Processing - Rabbit, Voluntary Slaughter - Poultry, Voluntary Slaughter -","",80,8012,Very Small,2,4,true
P20887,M20887 + P20887,Crescent Foods,4343 West 44th Place,Chicago,IL,60632,2017-10-10 00:00:00 UTC,"Meat Processing, Poultry Processing","",50,5006,Small,4,,true
P20889,M20889 + P20889,Crown I Enterprises,85 Saxon Avenue,Bay Shore,NY,11706,2020-06-10 00:00:00 UTC,"Meat Processing, Poultry Processing",Cucina Biello; Krazy Cook's Kitchen; Restaurant Row Kitchens; W.B. Stockyard,60,6017,Small,3,,true
P20935,M20935 + P20935,Michigan Turkey Producers Co-op,2140 Chicago Drive SW,Wyoming,MI,49519,,"Meat Processing, Poultry Processing, Poultry Slaughter","",50,5009,Small,5,4,true
P2095,M2095 + P2095,Nealey's Foods,3348 S. Pulaski Rd.,Chicago,IL,60623,,"Meat Processing, Poultry Processing","Nealey's Foods, Inc.",50,5002,Small,2,,true
P211,P211,Palmetto Pigeon Plant,333 Broad Street,Sumter,SC,29150,,"Poultry Processing, Poultry Slaughter","",85,8522,Small,2,4,true
P21103,M21103 + P21103,US Foods,1608 10th Avenue North,Birmingham,AL,35203,2018-06-12 00:00:00 UTC,"Meat Processing, Poultry Processing",SRA FOODS; STOCK YARDS MEATPACKING COMPANY; Stock yards of Birmingham; US Foods,90,90,Small,3,,true
P21200,M21200 + P21200,Visionary Foods,515 Commercial Drive,Statham,GA,30666,2020-03-11 00:00:00 UTC,"Meat Processing, Poultry Processing","",85,85,Small,3,,true
P21202,M21202 + P21202,Halsey Food Service,401 Lanier Road,Madison,AL,35758,2018-12-10 00:00:00 UTC,"Meat Processing, Poultry Processing",Diamond Star Premium Meat Co,90,90,Small,3,,true
P21207,M21207 + P21207 + V21207,Lorentz Etc.,705 Cannon Industrial Blvd.,Cannon Falls,MN,55009,,"Certification - Export, Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Lorentz,25,2531,Small,4,3,true
P21234,P21234,Perdue Foods,250 Ga Hwy 247 Spur,Perry,GA,31069,2019-11-01 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Carolina Fare; Chef's Choice; Coleman; Coleman Natural Foods; Cookin' Good; Gol Pak; Harvestland; Kirkland Signature; Pennysworth; Shenandoah,85,8509,Large,5,5,true
P21254,M21254 + P21254,William & Co.,135-136 Newmarket Square,Boston,MA,02118,,"Meat Processing, Poultry Processing","",60,6008,Very Small,3,,true
P21275,M21275 + P21275,D&D Foods,9425 N. 48th St.,Omaha,NE,68152,,"Meat Processing, Poultry Processing","",15,1522,Small,4,,true
P2130,M2130 + P2130,Cooper Farms Processing,1 Cooper Farms Drive,St. Henry,OH,45883,2019-08-02 00:00:00 UTC,"Meat Processing, Poultry Processing, Poultry Slaughter","",50,5032,Large,5,4,true
P21342,M21342 + P21342,WanRong Trading,4843 32nd Place,Long Island City,NY,11101,,"Meat Processing, Poultry Processing","",60,6017,Small,4,,true
P21430,M21430 + P21430,Bert Posess,100 East 25th Street,Paterson,NJ,07514,2001-10-01 00:00:00 UTC,"Meat Processing, Poultry Processing","",80,8023,Small,2,,true
P21494,M21494 + P21494,CCP Poultry & Meat,4755 East 49th Street,Vernon,CA,90058,,"Meat Processing, Poultry Processing","",5,514,Small,3,,true
P21498,M21498 + P21498,Ozark Mountain Poultry,750 West Easy Street,Rogers,AR,72756,2018-07-11 00:00:00 UTC,"Meat Processing, Poultry Processing","Forester Farmer's Market; OMP Foods; OMP Processing; Ozark Mountain Poultry, Inc.",35,3518,Large,5,,true
P215,M248B + P215,Butterfield Foods Company,225 Hubbard Avenue,Butterfield,MN,56120,,"Meat Processing, Poultry Processing, Poultry Slaughter","",25,2535,Small,4,5,true
P2178,P2178,Perdue Foods,20621 Savannah Road,Georgetown,DE,19947,,"Poultry Processing, Poultry Slaughter",COLEMAN NATURAL FOODS,80,8004,Large,5,5,true
P218,P218,Pilgrim's Pride,1710 W. Frank Avenue,Lufkin,TX,75904,,"Poultry Processing, Poultry Slaughter",County Post; Pilgrim's; Pilgrim's Pride,40,4029,Large,5,5,true
P21838,M21838 + P21838,OK Foods,5000 HWY 431,Albertville,AL,35950,,"Meat Processing, Poultry Processing",Bachoco,90,9012,Small,4,,true
P2186,P2186,George's Foods,501 NORTH LIBERTY STREET,HARRISONBURG,VA,22802,2011-04-05 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","",80,8008,Large,5,5,true
P21863A,M21863A + P21863A,Rio Grande Pak Foods,4100 W. Ursula Avenue,McAllen,TX,78503,,Poultry Processing,"",40,4031,Small,4,,true
P21874,M21874 + P21874,Rosemead Processing Meats,2508 Lee Avenue,South El Monte,CA,91733,,"Meat Processing, Poultry Processing","",5,506,Very Small,4,,true
P21929,M21929 + P21929,ALMI Group,5419 N. Mascher Street,Philadelphia,PA,19120,2019-09-09 00:00:00 UTC,"Meat Processing, Poultry Processing",Mama Ada's,60,6022,Very Small,2,,true
P21938,M21938 + P21938,EcoFriendly Foods,3397 Stoneyfork Road,Moneta,VA,24121,,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter","",80,80,Very Small,2,3,true
P2199,M2199 + P2199,Omni Custom Meats,151 Vanderbilt Court,Bowling Green,KY,42103,2001-02-08 00:00:00 UTC,"Meat Processing, Poultry Processing","",90,9002,Small,3,,true
P22000,P22000,Prestage Foods,P.O. Box 9,St Pauls,NC,28384,2016-06-12 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","",80,8005,Small,5,4,true
P22052,M22052 + P22052 + V22052,Hamilton Meat,3515 Main Street,Chula Vista,CA,91911,2019-01-04 00:00:00 UTC,"Certification - Export, Meat Processing, Poultry Processing",Hamilton Meats and Provisions,5,518,Small,3,,true
P22080,M22080 + P22080 + V22080,International Meat,7107 W. Grand Ave.,Chicago,IL,60707,,"Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat","",50,50,Small,2,,true
P2213D,M2213D + P2213D + V2213D,Buckhead Meat Dallas a Sysco Company,4216 Mint Way,Dallas,TX,75237,2021-11-02 00:00:00 UTC,"Certification - Export, Meat Processing, Poultry Processing",Freedman Food Service; Freedman Food Service - Dallas,40,4024,Small,4,,true
P2227,P2227,Hatcher Poultry & Egg Co.,610 Washington Street,Wichita Falls,TX,76306,,Poultry Processing,"",40,4028,Very Small,2,,false
P2298,M2298 + P2298,Deen Meat and Cooked Foods,813 E. Northside Drive,Fort Worth,TX,76102,,"Meat Processing, Poultry Processing","",40,4025,Small,4,,true
P2338,M2338 + P2338,Ben E. Keith Company,2250 Lone Star Drive,Dallas,TX,75212,,"Meat Processing, Poultry Processing",Ben E. Keith Foods; Winn Meat Company,40,4024,Small,3,,true
P243,P243,Tyson Foods,340 W. Maple,Cumming,GA,30040,,"Poultry Processing, Poultry Slaughter","Tyson Poultry, Inc.",85,8507,Large,5,5,true
P244,P244,Plainville Brands,304 S. Water Street,New Oxford,PA,17350,,"Poultry Processing, Poultry Slaughter","",60,6005,Large,5,4,true
P244C,M244C + P244C,Tyson Fresh Meats,2700 23rd Avenue,Council Bluffs,IA,51501,,"Meat Processing, Poultry Processing","IBP, inc.; Tyson Foods, Inc.",25,2518,Large,5,,true
P247,P247,Sanderson Farms,28163 Highway 28 East,Hazlehurst,MS,39083,,"Poultry Processing, Poultry Slaughter","",90,9004,Large,5,5,true
P2540,M2540 + P2540,KBDetroit,1939 Adelaide St.,Detroit,MI,48207,2018-02-08 00:00:00 UTC,"Meat Processing, Poultry Processing","CBC ; Chicago Beef Company; Kay Packing; KBD, Inc.",50,5008,Small,3,,true
P2617,M2617 + P2617,Perdue Foods,1155 Candler Rd.,Gainesville,GA,30507,2017-11-12 00:00:00 UTC,"Meat Processing, Poultry Processing",Coleman Natural; Kings Delight; Lake Lanier Farms; Penn Valley; Petaluma Poultry; Sugar Lake Farms,85,8513,Small,4,,true
P2629,M2629 + P2629 + V2629,Hobson Food Service,6167 Cockrill Bend Circle,Nashville,TN,37209,,"Meat Processing, Poultry Processing","",90,9029,Very Small,3,,true
P263,M263 + P263 + V263,Jones Dairy Farm,800 Jones Ave,Fort Atkinson,WI,53538,2017-08-08 00:00:00 UTC,"Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing","Greensboro Packers; Habbersett; Ralph & Paul Adams, Inc.",25,2530,Small,4,,true
P2632,P2632,Pilgrim's Pride,19740 US Hwy 90 West,Live Oak,FL,32064,,"Poultry Processing, Poultry Slaughter",Pilgrims Corporation,85,8523,Large,5,5,true
P2676,M2676 + P2676,Southeast Poultry,2200 Town West Drive,Rogers,AR,72756,,Poultry Processing,"",35,3512,Small,4,,true
P2686,P2686,Keystone Foods,7220 US Highway 19 North,Camilla,GA,31730,,"Poultry Processing, Poultry Slaughter","Equity Group Georgia Division, LLC; KeyFarm; Keystone Foods; Keystone Foods Intermediate LLC; Prospect Farms; Tyson Foods, Inc.",85,8501,Large,5,5,true
P27,P27 + V27,Tyson Foods,8564 Highway 71 South,Grannis,AR,71944,,"Certification - Export, Poultry Processing, Poultry Slaughter","Arkie Chicken; Brennan Packing Co., Inc.; Carroll County; Cavanaugh Lakeview Farms; Choctaw Maid; Colonia; Delightful Farms; Delta Valley; Eastwood Foods; Gold Leaf; Greenwich; Holly Farms; Howard County; Hudson Foods, Inc.; Janet Davis; Lady Aster (Food Service); McCarty Foods; Ole Carolina Brand & Design; Patti Jean; Prospect Farms; Spare Time; Tyson; Victor F. Weaver Co.; Washington Creamery",35,3514,Small,5,5,true
P272,M272 + P272,T.F. Kinnealey,1100 Pearl Street,Brockton,MA,02301,2017-12-04 00:00:00 UTC,"Meat Processing, Poultry Processing","",60,6029,Small,4,,true
P27216,M27216 + P27216,Great American Trucking,785 S Congress Avenue,Delray Beach,FL,33445,,"Meat Processing, Poultry Processing",Select Foods,85,8535,Small,3,,true
P27297,M27297 + P27297,Campo Lindo Farms,2390 S. E. 228th St.,Lathrop,MO,64465,,"Poultry Processing, Poultry Slaughter","",35,3506,Very Small,2,3,true
P27389,M27389 + P27389 + V27389,Pitman Farms,1078 North Avenue,Sanger,CA,93657,,"Certification - Export, Poultry Processing, Poultry Slaughter","",5,502,Large,5,5,true
P27505,M27505 + P27505,Gold Creek Processing,686 Highway 9 N,Dawsonville,GA,30534,,Poultry Processing,Agora; Gold Creek; Gold Creek Foods; Gold Creek Processing,85,85,Small,4,,true
P27505A,M27505A + P27505A,Gold Creek Processing,2255 White Sulphur Road,Gainesville,GA,30501,,"Meat Processing, Poultry Processing",Agora; Gold Creek; Gold Creek Foods; Gold Creek Processing,85,8513,Small,5,,true
P286,P286,Perdue Foods,65 South 200 West,Washington,IN,47501,2017-03-11 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Chef-Quik; Gol-Pak; Harvestland,50,5031,Large,5,4,true
P2882,P2882,Perdue Foods,2700 Lakeville Highway,Petaluma,CA,94955,2017-11-12 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","",5,531,Small,4,5,true
P2902,M2902 + P2902,Cougle Commission Company,2801 S. Ashland Avenue,Chicago,IL,60607,,"Meat Processing, Poultry Processing",Cougle Foods,50,5002,Small,3,,true
P3,P3,Mountaire Farms of Delaware,29005 John J Williams Highway,Millsboro,DE,19966,2020-11-09 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Mountaire; Mountaire Farms; Mountaire Farms Delaware; Mountaire Farms Inc.,80,8004,Large,5,5,true
P30775,M30775 + P30775,Rose Meat Services,4561 Loma Vista Ave,Vernon,CA,90058,2017-05-06 00:00:00 UTC,"Meat Processing, Poultry Processing","",5,514,Small,4,,true
P308,P308,Koch Foods,162 Magnolia Street,Morton,MS,39117,,"Poultry Processing, Poultry Slaughter","",90,9004,Large,5,5,true
P31639,M31639 + P31639,Everest Meats,1617 East 25th Street,Los Angeles,CA,90011,2004-11-03 00:00:00 UTC,"Meat Processing, Poultry Processing","",5,535,Small,3,,true
P31727,M31727 + P31727 + V31727A,Kiryas Joel Poultry Processing Plant,7 Dinev Road,Monroe,NY,10950,,"Certification - Export, Meat Processing, Poultry Processing, Poultry Slaughter",Alle; Fairway; Kedas; Kehilla ; Kiryas Joel Meat and Poultry; Koshers Best; Orange County Poultry; Quality Halal Poultry; Quality Kosher ; Tifereth,60,6027,Small,4,5,true
P31843,M31843 + P31843,James River Correctional Center,1954 Meat Plant Road,State Farm,VA,23160,,"Meat Processing, Poultry Processing","",80,80,Small,2,,true
P31851,M33885 + P31851,Chee Foo International,4545 N 43rd Ave,Phoenix,AZ,85031,2005-03-11 00:00:00 UTC,Poultry Processing,Chi Hing Food Service Inc,5,504,Small,3,,true
P31877,M31877 + P31877,Twin Rivers Foods,602 S.E. 1st Street,Atkins,AR,72823,,Poultry Processing,"",35,3520,Small,4,,true
P31881,P31881 + V31881,DG Foods,1095 Industrial Drive,Hazlehurst,MS,39083,2019-07-06 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","",90,9004,Small,5,,true
P31884,M31884 + P31884 + V31884,Pritzlaff Wholesale Meats,17025 W. Glendale Drive,New Berlin,WI,53151,,"Meat Processing, Poultry Processing, Voluntary Slaughter - Meat","",25,2517,Very Small,4,,true
P31932,M31932 + P31932,Certified Meat Products,4586 E. Commerce,Fresno,CA,93725,,"Meat Processing, Poultry Processing","",5,505,Small,4,,true
P31979,M31979 + P31979,Foundation Food Group,1100 Airport Parkway,Gainesville,GA,30501,,"Meat Processing, Poultry Processing","",85,85,Small,4,,true
P31980,M31980 + P31980,M&C Unico,2041 Hawkins Circle,Los Angeles,CA,90001,2006-09-06 00:00:00 UTC,Meat Processing,Tacos El Unico,5,535,Very Small,2,,true
P32,P32,Mar-Jac Poultry,1020 Aviation Blvd,Gainesville,GA,30501,,"Poultry Processing, Poultry Slaughter","",85,8513,Large,5,5,true
P320,P320,Sanderson Farms,2535 Sanderson Drive,Laurel,MS,39440,,"Poultry Processing, Poultry Slaughter","",90,9009,Large,5,5,true
P32042,M32042 + P32042 + V32042,Brushy Prairie Packing,435 N. 850 East,LaGrange,IN,46761,,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Poultry, Voluntary Processing - Rabbit, Voluntary Slaughter - Poultry, Voluntary Slaughter - Rabbit","",50,5033,Very Small,3,3,true
P32130,M32130 + P32130 + V32130,Dakota Provisions,20827 403rd Avenue,Huron,SD,57350,2019-12-06 00:00:00 UTC,"Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Poultry Slaughter",Dakota Deli; Dakota Provisions,25,2535,Large,5,4,true
P32133,M32133 + P32133,A&B,1842 Highway 43 North,Pelahatchie,MS,39145,2019-12-06 00:00:00 UTC,"Meat Processing, Poultry Processing","",90,90,Small,4,,true
P32143,P32143,Otto's Poultry,5622 Whitneyville Road,Middleville,MI,49333,,"Poultry Processing, Poultry Slaughter",Otto's Chicken,50,5009,Very Small,3,4,true
P32145,M38494 + P32145 + V32145,Emmaus Foods,661 Railroad Avenue,Albertville,AL,35951,,"Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry","",90,9010,Small,4,,true
P32170,M32170 + P32170,Ganaderos Borges,Barrio Hucares,Naguabo,PR,00718,,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",Borges Meat; Borges Pork; Ganaderia Raul,85,8544,Small,4,3,true
P32174,P32174,Alatrade Foods,200 Tyson Drive,Albertville,AL,35950,,Poultry Processing,"",90,9012,Large,5,,true
P32182,P32182,Sanderson Farms,700 Hwy 133 South,Moultrie,GA,31788,2019-05-02 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Covington Farms,85,8501,Large,5,5,true
P322,M322A + P322,Pilgrim's Pride,851 Sauk River Road,Cold Spring,MN,56320,2019-04-06 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",GNP Company; Gold'n Plump Poultry LLC; JFC LLC,25,2504,Large,5,5,true
P325,P325,Tyson Foods,1019 Shelbyville Street,Center,TX,75935,2018-08-01 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","TSD Sales & Distribution; Tyson Farms, Inc.",40,4029,Large,5,5,true
P33831,M33831 + P33831 + V33831,Ayrshire Farm Management,21846 Trappe Rd.,Upperville,VA,20185,,"Animal Foods Inspection, Poultry Processing, Poultry Slaughter","",80,8014,Very Small,1,2,true
P33861,M33861 + P33861,Standard Meat Company,455 Sansom Blvd.,Saginaw,TX,76179,2019-12-06 00:00:00 UTC,"Meat Processing, Poultry Processing","DOS Project, LP",40,4025,Small,4,,true
P33885,M33890 + P33885,Wayne Farms,112 Plugs Drive,Decatur,AL,35602,,Poultry Processing,Dutch Quality House,90,9010,Large,4,,true
P33900,P33900 + V33900,Foster Farms,6648 HWY 15 North,Farmerville,LA,71241,2019-12-06 00:00:00 UTC,"Certification - Export, Poultry Processing, Poultry Slaughter",Sunland Poultry Co.,40,4014,Large,5,5,true
P33901,M33901 + P33901,Foster Farms,6648 HWY 15 North,Farmerville,LA,71241,2019-12-06 00:00:00 UTC,"Meat Processing, Poultry Processing","",40,4014,Small,5,,true
P33982,M33982 + P33982,Gold Taste Foods Distributors,10765 Kingspoint Road,Houston,TX,77075,2015-09-03 00:00:00 UTC,"Meat Processing, Poultry Processing","",40,4032,Small,3,,true
P33997,M33997 + P33997,Roundy's Supermarkets,5500 - 52nd Street,Kenosha,WI,53144,2017-07-04 00:00:00 UTC,"Meat Processing, Poultry Processing",RCK Foods,25,2517,Small,4,,true
P34009,M34009 + P34009,Washington Lamb,7963 Conell Court,Lorton,VA,22079,,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter","",80,8006,Small,3,,true
P34078A,M34078A + P34078A,Tri Eagle,8151 S. Range Rd.,Kingsford Heights,IN,46346,,"Meat Processing, Poultry Processing",Great Lakes Poultry,50,5013,Small,3,,true
P34084,P34084,Edmunds Foods,385 Red Oaks Flat Loop,Dahlonega,GA,30533,,Poultry Processing,"",85,85,Small,3,,true
P34095,M34095 + P34095 + V34095,A1 Meat Solutions,3219 Durfee Avenue,El Monte,CA,91732,,"Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing","",5,514,Very Small,4,,true
P341,P341,Golden Rod Broilers,2352 County Road 719,Cullman,AL,35055,,"Poultry Processing, Poultry Slaughter","",90,9001,Small,4,5,true
P34145,M34145 + P34145,Kadejan,500 12th St. NE,Glenwood,MN,56334,,"Meat Processing, Poultry Processing, Poultry Slaughter","",25,2503,Very Small,3,4,true
P34152,M34152 + P34152,Anmar Foods,2150 W. Carroll Ave.,Chicago,IL,60612,,"Meat Processing, Poultry Processing",Anmar Foods,50,5002,Small,3,,true
P34193,M34193 + P34193 + V34193,Swift Beef,15555 Meridian Parkway,Riverside,CA,92518,,"Certification - Export, Meat Processing, Poultry Processing","Swift Beef Company, JBS Riverside Inc.,JBS USA LLC, Wild Fork Foods",5,525,Small,4,,true
P34195,M34195 + P34195,Gourmet Specialty Foods,100 Willow Street,North Andover,MA,01845,,"Meat Processing, Poultry Processing","",60,6008,Very Small,3,,true
P34227,M34227 + P34227,Lawson Foods,145 40th Street,Irvington,NJ,07111,,"Meat Processing, Poultry Processing","",80,8020,Small,4,,true
P34243,M34243 + P34243,T.G. Meat Center,508 Wallace Street,East Bernard,TX,77435,2014-10-06 00:00:00 UTC,"Meat Processing, Poultry Processing","",40,4026,Very Small,4,,true
P34308,P34308,Sanderson Farms,301 Aviation Parkway,Waco,TX,76705,2019-12-02 00:00:00 UTC,"Poultry Processing, Poultry Slaughter",Covington Farms,40,4033,Large,5,5,true
P34371,M34371 + P34371,Union Foods,751 Fenner Rd.,Rocky Mount,NC,27804,2019-08-10 00:00:00 UTC,Poultry Processing,"",80,8015,Small,4,,true
P34376,M34376 + P34376,Spectrum Foods,3388 Pennsy Dr.,Landover,MD,20785,2007-10-06 00:00:00 UTC,"Meat Processing, Poultry Processing","",80,8006,Small,3,,true
P34453,P34453,Alatrade Foods,6 Downing Drive,Phenix City,AL,36869,,Poultry Processing,"",90,9001,Large,5,,true
P34467,M34467 + P34467 + V34467,Shamrock Food,5199 Ivy Street,Commerce City,CO,80022,2019-09-04 00:00:00 UTC,"Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry",Gold Canyon Meat Co.,15,1514,Small,3,,true
P34495,M34495 + P34495,J.J. Foodservice,2504 S. Santa Fe Avenue,Vista,CA,92084,,"Meat Processing, Poultry Processing","",5,518,Small,3,,true
P34715,M34715 + P34715,Patterson TMP Operating,8905 Forum Way,Fort Worth,TX,76140,,"Meat Processing, Poultry Processing",Clearfork Foods; Patterson Food Processors; Texas Meat Packers,40,4025,Small,4,,true
P34729,P34729,White Oak Pastures,22775 US Highway 27,Bluffton,GA,39824,2011-08-06 00:00:00 UTC,Poultry Slaughter,"",85,85,Small,2,4,true
P38463,M38463 + P38463,La Indi Poultry,15268 Proctor Ave,City of Industry,CA,91746,2009-04-02 00:00:00 UTC,"Meat Processing, Poultry Processing","",5,506,Small,3,,true
P38466,P38466,Sensenig Turkey Farm,465 Reifsnyder Road,Lititz,PA,17543,,"Poultry Processing, Poultry Slaughter","",60,6023,Small,3,4,true
P38468,M38468 + P38468 + V38468,Colorado Premium Foods,"5140 Race Court, Unit 1",Denver,CO,80216,2011-04-02 00:00:00 UTC,"Meat Processing, Voluntary Processing - Meat",K2D Foods; Silver States Meats,15,1514,Small,4,,true
P38511,M38511 + P38511 + V38511,New S.B.L.,1001 W 45th St,Chicago,IL,60609,,"Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing","",50,50,Small,4,,true
P38514,M38514 + P38514,C&S Poultry,608 Monterey Pass Road,Monterey Park,CA,91754,,"Meat Processing, Poultry Processing","",5,514,Very Small,4,,true
P38522,M38522 + P38522,Metropolitan Foods,6 West Belt,Wayne,NJ,07470,,"Meat Processing, Poultry Processing",Driscoll Foods,80,8023,Very Small,3,,true
